bioguide_id,twitter_id
D000629,1080516116395499522
B001310,1080870981877534720
E000299,1075517806551154689
F000468,1075904377221722113
F000469,1078741899572240384
G000587,1080587263132733442
G000590,1080477288955826176
G000592,1080891667308298240
H001085,1052896620797460481
H001090,1080851152151953410
J000301,1074782372594413569
L000590,1079061579973439488
L000592,1080277407867772930
M001204,1080574793630527505
P000616,1061310112013434882
P000617,1080584229510172678
S001207,1080569698536878081
S001208,1078401427347857408
S001211,1080885078425784320
S001215,1076161611033968640
S001216,1080462532815532032
T000479,1075040139351597056
T000480,1079770852302958592
T000481,1079769536730140672
T000482,1079802482640019456
T000483,1080573351914061825
U000040,1080539438508400642
W000825,1017819745880543238
K000368,1081240074946252801
H001081,1082086081238102018
D000631,567508925
P000614,1067748650485497862
P000618,1081222837459996672
R000612,1081312310059253763
S001205,1067541214671577093
O000172,1079104563280527364
J000302,1082311988926124036
G000591,1081243468327018496
C001117,1083472286089396224
M001203,1080898026418384897
M001205,1081318716573470720
M001208,1082380458976051202
P000615,1082369392229400576
R000614,1082790600292925440
S001214,1083125649609506816
W000823,1082416697380913152
G000586,1082427779583541248
H001088,1083474782602125318
K000394,1078771848882593793
B001307,1086316494450032640
G000588,1054381765224210432
R000610,4205133682
O000173,1082334352711790593
C001055,1081350574589833221
H001089,1080960924687704064
K000395,1136060761422405633
S001204,346509049
B001311,1176522535531360257
G000061,1262531473057423361
M000687,1276209702322438148
M001210,1173978070535024642
K000377,1324926274888888320
G000595,1345536897838436353
O000086,1344481217685692416
M001213,1337452596093587462
V000134,1339633259349745670
J000304,1341903465610686464
P000048,1341120751399809026
F000246,1343258042704527362
H001086,1345787285179162624
M000194,1343597700542038017
B000740,1344260196227555334
B001223,1344389506963808264
M000317,1344750588026900481
G000597,1344349650447433729
H001084,1344416719260016641
C001104,1344007696555663360
R000103,1344751420139040783
F000470,1344375287484723205
M001136,1344032292432437248
A000148,1330278736554582016
M001186,1334164871420796928
S000929,1344845201479663621
M001211,1343656635907125250
N000192,1343578440977494018
F000446,1345135363761852416
H001091,1340783304304410625
G000596,1344356576786866176
